"","year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","BB","HP","KK","GD","PA","SB","CS","SF","BAT_ORDER","stadium_MH","stadium_MS","stadium_JS","stadium_SW","stadium_DJ","stadium_DG","stadium_GJ","stadium_GC","stadium_SJ","stadium_PH","stadium_US","stadium_CJ","stadium_CW","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","HOME","AWAY","KBB","SB_try","SB_succ","BABIP","H2_rate","H3_rate","HR_rate","BB_rate","KK_rate","HP_rate","GD_rate","XR","AVG","OBP","SLG","OPS"
"1",2016,4,60146,"LG",0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2016,4,60263,"NC",0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,6,0,0,3,0,0,2,0,0,0,0,3,2,0,3,4,0,3,3,3,2,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2016,4,60404,"HH",12,2,0,0,0,0,0,3,0,12,0,0,0,9,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11,4,0.0384615384615385,0,0.135135135135135,0,0,0,0,0.25,0,0,0.076,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333
"4",2016,4,60456,"SS",65,15,3,1,0,5,1,14,5,74,1,1,3,7,0,0,2,3,2,10,3,0,3,0,0,0,0,2,3,6,2,3,3,4,0,0,0,10,13,1.42857142857143,0.0190972222222222,0.727272727272727,0.309468822170901,0.2,0.0666666666666667,0,0.0675675675675676,0.189189189189189,0.0135135135135135,0.0675675675675676,4.948,0.230769230769231,0.283783783783784,0.307692307692308,0.591476091476091
"5",2016,4,60523,"LT",91,22,4,1,0,7,5,29,3,105,1,1,2,1,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11,1.76760563380282,0.0288675055514434,0.641025641025641,0.324414715719064,0.181818181818182,0.0454545454545455,0,0.0666666666666667,0.276190476190476,0.0476190476190476,0.0285714285714286,9.348,0.241758241758242,0.323809523809524,0.307692307692308,0.631501831501831
"6",2016,4,60558,"LT",23,6,1,0,0,0,0,5,1,23,1,0,0,7,0,2,3,3,0,0,0,3,14,0,0,0,0,3,3,3,3,0,4,0,3,3,3,14,11,3.70454545454545,0.0583446404341927,0.709302325581395,0.319042871385842,0.166666666666667,0,0,0,0.217391304347826,0,0.0434782608695652,1.46,0.260869565217391,0.260869565217391,0.304347826086957,0.565217391304348
"7",2016,4,60667,"HH",9,3,1,0,0,1,0,5,1,10,0,0,0,8,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11,3.66666666666667,0,0,0.380952380952381,0.333333333333333,0,0,0.1,0.5,0,0.1,1.11,0.333333333333333,0.4,0.444444444444444,0.844444444444444
"8",2016,4,60757,"HH",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2016,4,60805,"HH",0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,3,5,0,12,0,0,0,3,0,0,0,0,0,2,0,4,3,3,6,0,2,3,12,11,2.33333333333333,0,0,0.25531914893617,0,0,0,1,0,0,0,0.34,0,1,0,0
"10",2016,4,61102,"LG",36,8,0,0,0,2,1,8,0,39,0,0,0,8,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,3.29357798165138,0.00201612903225806,0.75,0.301736613603473,0,0,0,0.0512820512820513,0.205128205128205,0.0256410256410256,0,2.436,0.222222222222222,0.282051282051282,0.222222222222222,0.504273504273504
"11",2016,4,61186,"LG",71,19,1,0,2,5,1,18,0,78,2,4,1,1,3,0,10,0,2,2,2,3,0,0,0,0,0,4,2,2,0,3,3,0,3,2,3,10,12,1.42162162162162,0.0461857810067462,0.584269662921348,0.348158443363447,0.0526315789473684,0,0.105263157894737,0.0641025641025641,0.230769230769231,0.0128205128205128,0,8.166,0.267605633802817,0.320512820512821,0.366197183098592,0.686710003611412
"12",2016,4,61204,"OB",11,2,0,0,0,0,0,0,0,12,1,0,1,6,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10,2.23684210526316,0.0585106382978723,0.696969696969697,0.261467889908257,0,0,0,0,0,0,0,0.64,0.181818181818182,0.166666666666667,0.181818181818182,0.348484848484849
"13",2016,4,61208,"OB",5,2,0,0,0,2,1,0,0,8,0,0,0,8,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10,1.78947368421053,0.0373626373626374,0.676470588235294,0.318649045521292,0,0,0,0.25,0,0.125,0,1.75,0.4,0.625,0.4,1.025
"14",2016,4,61214,"OB",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,3,3,2,2,0,0,0,0,0,0,6,2,3,0,0,3,0,3,4,3,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
