P_ID,inplay_ratio
50030,1.29
50036,1.8333333333333333
50040,1.4136690647482015
50126,1.5
50157,1.5
50234,1.5517241379310345
50296,1.9375
50360,1.6666666666666667
50404,1.372
50441,2.6666666666666665
50449,1.4767441860465116
50464,1.7857142857142858
50524,1.3190184049079754
50556,1.1428571428571428
50558,1.5753424657534247
50592,1.2
50636,1.3907563025210083
50640,1.6256983240223464
50662,1.4090909090909092
50705,2.0416666666666665
50726,3.3333333333333335
50815,1.3
50835,1.3734939759036144
50900,1.0
50912,1.5
60105,1.55
60140,1.6399132321041214
60146,1.5827505827505828
60164,1.3888888888888888
60181,1.5424107142857142
60255,2.2
60263,1.500856653340948
60264,1.398876404494382
60336,1.6585365853658536
60337,1.5520833333333333
60339,1.4787985865724382
60342,1.3823529411764706
60441,2.0
60457,1.5543478260869565
60559,1.6320754716981132
60634,1.5159090909090909
60636,1.5729537366548043
60757,1.7980769230769231
60764,1.7358490566037736
60768,1.4824824824824825
60841,1.5280783101494075
60845,1.5616883116883118
60848,1.6176470588235294
61101,1.5594713656387664
61145,1.5477941176470589
61156,1.5789473684210527
61214,1.4259259259259258
61215,1.4444444444444444
61240,1.5313351498637602
61268,1.4214285714285715
61295,1.5092592592592593
61323,1.548148148148148
61329,1.489795918367347
61365,1.3934040047114251
61396,1.6818181818181819
61411,1.7864077669902914
61456,1.5136476426799008
61457,1.550387596899225
61496,1.5740740740740742
61557,1.1428571428571428
61569,1.2857142857142858
61643,1.4734411085450347
61666,1.5897435897435896
61715,3.6666666666666665
61891,1.7899543378995433
61895,1.7495395948434622
61929,2.0
61962,1.6451612903225807
62056,1.5315789473684212
62146,1.41869918699187
62242,1.3791574279379157
62263,1.4
62294,inf
62322,1.6199261992619927
62338,1.3333333333333333
62360,1.4191489361702128
62363,1.4339622641509433
62463,1.4194915254237288
62528,1.5982300884955751
62595,1.9411764705882353
62611,1.400943396226415
62637,1.5348837209302326
62648,1.6864686468646866
62655,1.4943181818181819
62696,2.25
62698,1.3992968357609241
62754,1.3854961832061068
62868,1.2
62869,1.4303232998885174
62892,1.1714285714285715
62908,1.0
62918,2.0
62920,1.7862068965517242
62929,1.5234093637454982
62937,1.3463203463203464
62951,1.3575638506876229
62966,1.4454787234042554
63027,1.9166666666666667
63103,2.3636363636363638
63104,1.5348837209302326
63111,1.5442655935613683
63145,1.5457627118644068
63248,1.6714471968709257
63292,1.48
63342,1.547945205479452
63348,1.4834437086092715
63464,1.4375
63492,inf
63512,1.6567375886524822
63543,1.721264367816092
63619,2.0
63628,1.2323232323232323
63638,1.3658536585365855
63749,1.6382978723404256
63765,1.6521739130434783
63791,1.4109589041095891
63810,1.407960199004975
63894,1.8611111111111112
63935,1.5424528301886793
63936,1.5294117647058822
63938,1.4192409532215358
63950,1.5727590221187426
63959,1.7178217821782178
63960,1.2307692307692308
63961,1.3846153846153846
63991,1.4049733570159857
64001,1.4949899799599198
64017,1.5528942115768463
64021,1.4965181058495822
64029,1.4955156950672646
64041,1.78125
64047,1.5873015873015872
64051,1.3209302325581396
64155,1.9696969696969697
64204,1.65
64255,1.1578947368421053
64267,1.3448275862068966
64350,1.3820598006644518
64396,1.3333333333333333
64462,1.8333333333333333
64464,1.2727272727272727
64554,1.509433962264151
64565,1.2857142857142858
64594,1.0
64596,1.6473029045643153
64615,1.411214953271028
64718,1.6575342465753424
64759,1.430939226519337
64760,1.7608695652173914
64764,1.3220338983050848
64768,1.3611111111111112
64805,1.559782608695652
64861,1.55
64893,1.4005681818181819
64907,1.6625
64960,1.173913043478261
64995,1.70126582278481
65042,1.5944055944055944
65048,1.3816091954022989
65056,1.5218800648298216
65057,1.5294117647058822
65058,1.462406015037594
65060,1.3746223564954683
65062,1.5867768595041323
65064,1.6346153846153846
65067,1.5671641791044777
65117,1.4929577464788732
65206,1.6666666666666667
65241,1.5660377358490567
65320,1.3967082860385924
65331,1.457296570275723
65343,1.7560975609756098
65345,2.3333333333333335
65348,1.3959899749373434
65368,1.2903225806451613
65392,1.4268292682926829
65398,1.5466666666666666
65411,1.4634146341463414
65496,1.5396825396825398
65509,1.5
65516,1.4444444444444444
65543,1.5206463195691202
65546,1.4906015037593985
65616,1.467509025270758
65618,1.5
65639,1.6056338028169015
65643,1.489071038251366
65665,1.4518828451882846
65696,1.4776119402985075
65742,1.4066852367688023
65764,1.491655969191271
65769,1.648729446935725
65802,2.5
65827,1.411764705882353
65856,1.49583600256246
65908,2.3333333333333335
65931,1.4707207207207207
65933,1.6078869047619047
65964,1.6470588235294117
66018,1.537037037037037
66032,1.3741007194244603
66039,1.5
66047,1.5170731707317073
66049,1.4864864864864864
66050,1.7052023121387283
66064,1.4137931034482758
66068,3.0
66098,1.0
66138,1.3350253807106598
66145,1.4210526315789473
66154,1.4811320754716981
66160,1.532258064516129
66201,1.3766233766233766
66226,1.4940554821664465
66291,1.4339622641509433
66305,1.4705882352941178
66309,1.4074074074074074
66323,1.6325301204819278
66324,1.3461538461538463
66359,inf
66402,1.6331658291457287
