"","P_ID","H2_rate","H3_rate","HR_rate","BB_rate","HP_rate","KK_rate"
"1",50054,0.0410958904109589,0,0,0.0958904109589041,0.0136986301369863,0.178082191780822
"2",50066,0.0740740740740741,0,0.037037037037037,0.0740740740740741,0,0.222222222222222
"3",50150,0.0666666666666667,0,0,0.0333333333333333,0,0.2
"4",50165,0.036480686695279,0.00429184549356223,0.0729613733905579,0.109442060085837,0.00643776824034335,0.274678111587983
"5",50202,0,0,0,0.0333333333333333,0,0.133333333333333
"6",50203,NA,NA,NA,NA,NA,NA
"7",50204,0,0,0,0,0,1
"8",50208,0,0,0,0,0,0.25
"9",50293,0,0,0,0.142857142857143,0.0476190476190476,0.0952380952380952
"10",50296,NA,NA,NA,NA,NA,NA
"11",50300,0,0,0.027027027027027,0.027027027027027,0,0.27027027027027
"12",50304,0,0,0,0,0,1
"13",50350,0.0454545454545455,0,0.00505050505050505,0.0858585858585859,0.0101010101010101,0.106060606060606
"14",50357,0.0952380952380952,0,0,0,0,0.428571428571429
"15",50360,NA,NA,NA,NA,NA,NA
"16",50365,0,0,0,0,0,0
"17",50458,0.0206611570247934,0.00413223140495868,0.00413223140495868,0.0826446280991736,0.00826446280991736,0.136363636363636
"18",50468,0.049079754601227,0,0.0368098159509202,0.141104294478528,0.0429447852760736,0.251533742331288
"19",50469,0.0277777777777778,0,0.037037037037037,0.0925925925925926,0,0.222222222222222
"20",50506,0.0575221238938053,0.00221238938053097,0.0221238938053097,0.086283185840708,0.0132743362831858,0.106194690265487
"21",50600,0.0375,0,0,0.0125,0,0.15
"22",50657,0,0,0,0.5,0,0.5
"23",50704,0.0344827586206897,0,0.0114942528735632,0.0459770114942529,0.0114942528735632,0.28735632183908
"24",50707,0,0,0,0.0416666666666667,0,0.25
"25",50709,0,0,0,0.04,0,0.44
"26",50730,0.0362694300518135,0,0.0155440414507772,0.0932642487046632,0.0259067357512953,0.290155440414508
"27",50802,0.0333333333333333,0,0.0333333333333333,0.2,0.0666666666666667,0.0333333333333333
"28",50819,0,0,0,0.2,0,0.4
"29",50840,NA,NA,NA,NA,NA,NA
"30",50848,0,0,0.125,0.0625,0.0625,0.1875
"31",50854,0.0369458128078818,0.00738916256157635,0.00246305418719212,0.0763546798029557,0.00985221674876847,0.142857142857143
"32",50859,NA,NA,NA,NA,NA,NA
"33",50923,0.0372093023255814,0.013953488372093,0.0558139534883721,0.0790697674418605,0.0232558139534884,0.265116279069767
"34",60288,0.0126582278481013,0,0,0.0506329113924051,0.0126582278481013,0.253164556962025
"35",60339,NA,NA,NA,NA,NA,NA
"36",60343,0.0294117647058824,0,0.0294117647058824,0.0686274509803922,0.0294117647058824,0.186274509803922
"37",60523,0.0416666666666667,0.00277777777777778,0.025,0.116666666666667,0.0111111111111111,0.172222222222222
"38",60558,0.049079754601227,0.00613496932515337,0.0184049079754601,0.0306748466257669,0.0368098159509202,0.159509202453988
"39",60566,0,0,0,0.0408163265306122,0,0.0816326530612245
"40",60841,NA,NA,NA,NA,NA,NA
"41",61102,0.0384615384615385,0,0.0333333333333333,0.0512820512820513,0.0256410256410256,0.197435897435897
"42",61145,NA,NA,NA,NA,NA,NA
