ds,P_ID,PA_PER_G
2020-07-30 00:00:00,60343,0.9303773791464491
2020-07-31 00:00:00,60343,0.9295852426510332
2020-08-31 00:00:00,60343,1.2348139051317202
2020-09-30 00:00:00,60343,1.4568913601333737
2020-10-31,60343,1.4568913601333737
2020-07-30 00:00:00,61208,2.6197163873442286
2020-07-31 00:00:00,61208,2.583255599121487
2020-08-31 00:00:00,61208,2.8381512750152913
2020-09-30 00:00:00,61208,1.5984514177869038
2020-10-31,61208,1.5984514177869038
2020-07-30 00:00:00,62700,1.8238814873955982
2020-07-31 00:00:00,62700,1.6489297567826042
2020-08-31 00:00:00,62700,2.5797988978468025
2020-09-30 00:00:00,62700,2.86333789205619
2020-10-31,62700,2.86333789205619
2020-07-30 00:00:00,63700,0.002630025422395765
2020-07-31 00:00:00,63700,0.002231901635338246
2020-08-31 00:00:00,63700,0.0015334723005385983
2020-09-30 00:00:00,63700,0.0014341954722459005
2020-10-31,63700,0.0014341954722459005
2020-07-31 00:00:00,63703,0.5364631616685797
2020-08-31 00:00:00,63703,0.5718412030743206
2020-09-30 00:00:00,63703,0.6060780173379411
2020-10-31,63703,0.6060780173379411
2020-07-30 00:00:00,64704,1.3529411764705883
2020-07-31 00:00:00,64704,1.3529411764705883
2020-08-31 00:00:00,64704,1.3529411764705883
2020-09-30 00:00:00,64704,1.3529411764705883
2020-10-31,64704,1.3529411764705883
2020-07-31 00:00:00,66702,0
2020-08-31 00:00:00,66702,0.05342910883791732
2020-09-30 00:00:00,66702,0.03440169218823461
2020-10-31,66702,0.03440169218823461
2020-07-31 00:00:00,66706,0.27328735257633424
2020-08-31 00:00:00,66706,0.59079787882539
2020-09-30 00:00:00,66706,0.48819201977244836
2020-10-31,66706,0.48819201977244836
2020-07-31 00:00:00,68730,0.024022685940609297
2020-08-31 00:00:00,68730,0.022049898083469577
2020-09-30 00:00:00,68730,0.012254837287716354
2020-10-31,68730,0.012254837287716354
2020-07-30 00:00:00,68743,4.254234864124524
2020-07-31 00:00:00,68743,4.487557752960009
2020-08-31 00:00:00,68743,4.172587273433585
2020-09-30 00:00:00,68743,3.249772758009017
2020-10-31,68743,3.249772758009017
2020-07-31,69702,0.20833333333333334
2020-08-31,69702,0.20833333333333334
2020-09-30,69702,0.20833333333333334
2020-10-31,69702,0.20833333333333334
2020-07-31,69705,0.75
