"","P_ID","SB_try","SB_succ","SF_per_PA"
"1",50054,0.0377358490566038,0.5,0
"2",50066,0,0,0
"3",50150,0.142857142857143,1,0
"4",50165,0,0,0.0164609053497942
"5",50202,0.0416666666666667,1,0.0416666666666667
"6",50204,0,0,0
"7",50208,0,0,0
"8",50293,0,0,0
"9",50296,0,0,0
"10",50300,0,0,0.027027027027027
"11",50304,0,0,0
"12",50357,0,0,0
"13",50458,0.0727272727272727,0.875,0.0181818181818182
"14",50468,0.0429447852760736,0.857142857142857,0.00613496932515337
"15",50506,0.028,1,0.016
"16",50600,0,0,0
"17",50704,0,0,0
"18",50707,0,0,0.025
"19",50709,0,0,0
"20",50730,0,0,0
"21",50819,0,0,0
"22",50840,0,0,0
"23",50854,0.0412371134020619,0.75,0.00515463917525773
"24",50923,0.0524193548387097,0.846153846153846,0
"25",60100,0.00555555555555556,0.5,0.00833333333333333
"26",60140,0,0,0
"27",60146,0,0,0
"28",60181,0,0,0
"29",60184,0,0,0
"30",60263,0,0,0
"31",60288,0,0,0
"32",60339,0,0,0
"33",60343,0.0124069478908189,0.2,0.00620347394540943
"34",60404,0.0384615384615385,0,0
"35",60456,0.0190972222222222,0.727272727272727,0.0138888888888889
"36",60464,0,0,0
"37",60496,0.0634920634920635,0.75,0
"38",60523,0.0305410122164049,0.6,0.00698080279232112
"39",60558,0.054904831625183,0.72,0.00658857979502196
"40",60559,0,0,0
"41",60566,0.073490813648294,0.767857142857143,0.00393700787401575
"42",60605,0,0,0.00813008130081301
"43",60634,0,0,0
"44",60636,0,0,0
"45",60648,0,0,0
"46",60658,0,0,0
"47",60667,0,0,0.0285714285714286
"48",60724,0,0,0
"49",60757,0,0,0
"50",60768,0,0,0
"51",60805,0,0,0
"52",60845,0,0,0
"53",61102,0.00221116639027087,0.75,0.00939745715865119
"54",61104,0.00775193798449612,1,0.00775193798449612
"55",61114,0.00403225806451613,0,0.00403225806451613
"56",61145,0,0,0
"57",61186,0.047008547008547,0.579545454545455,0.00480769230769231
"58",61197,0.0286806883365201,0.533333333333333,0.00573613766730402
"59",61204,0.0510948905109489,0.714285714285714,0.00364963503649635
"60",61208,0.0365135453474676,0.709677419354839,0.00588928150765607
"61",61214,0,0,0
"62",61268,0,0,0
"63",61295,0,0,0
"64",61329,0,0,0
"65",61353,0.0639269406392694,0.738095238095238,0.00659563673262303
"66",61365,0,0,0
"67",61366,0.0119047619047619,1,0
"68",61404,0.043010752688172,0.661764705882353,0.00822264389626818
"69",61411,0,0,0
"70",61456,0,0,0
"71",61463,0.0287081339712919,0.666666666666667,0.00956937799043062
"72",61554,0.0658307210031348,0.666666666666667,0.00626959247648903
"73",61557,0,0,0
"74",61566,0.0128755364806867,0.666666666666667,0
"75",61591,0.0048780487804878,1,0.0048780487804878
"76",61643,0,0,0
"77",61652,0.08,0.8,0.008
"78",61666,0,0,0
"79",61700,0.0220913107511046,0.533333333333333,0.00441826215022091
