"year","month","P_ID","PA"
2020,10,69054,3
2020,10,67646,5
2020,10,66663,9
2020,10,50262,7
2020,10,68341,9
2020,10,66801,3
2020,10,50813,5
2020,10,50109,4
2020,10,60339,34
2020,10,63638,16
2020,10,61457,17
2020,10,67443,4
2020,10,72523,13
2020,10,66557,2
2020,10,62242,18
2020,10,65241,9
2020,10,64896,5
2020,10,65937,17
2020,10,64041,5
2020,10,66660,5
2020,10,63512,10
2020,10,77263,13
2020,10,62951,10
2020,10,63894,18
2020,10,65343,18
2020,10,75138,26
2020,10,64995,19
2020,10,67962,31
2020,10,65062,30
2020,10,65057,11
2020,10,64047,27
2020,10,60146,28
2020,10,65496,17
2020,10,77591,6
2020,10,79545,25
2020,10,50556,23
2020,10,50203,13
2020,10,76329,24
2020,10,50360,20
2020,10,64051,26
2020,10,76858,26
2020,10,75867,47
2020,10,69974,15
2020,10,60263,17
2020,10,65696,16
2020,10,78247,35
2020,10,75421,20
2020,10,63765,43
2020,10,73738,20
2020,10,67266,40
2020,10,66018,33
2020,10,74359,23
2020,10,69134,36
2020,10,69159,40
2020,10,76650,41
2020,10,65639,29
2020,10,63991,12
2020,10,63959,31
2020,10,62655,25
2020,10,78517,48
2020,10,63628,19
2020,10,69620,19
2020,10,65665,26
2020,10,66609,23
2020,10,79440,26
2020,10,67737,36
2020,10,79293,26
2020,10,68200,58
2020,10,67828,20
2020,10,65392,12
2020,10,67365,31
2020,10,69839,31
2020,10,50859,27
2020,10,69104,30
2020,10,61145,20
2020,10,79140,38
2020,10,62146,24
2020,10,75340,36
2020,10,65060,35
2020,10,63464,46
2020,10,79764,35
2020,10,63543,31
2020,10,60559,25
2020,10,68529,22
2020,10,67246,42
2020,10,66291,45
2020,10,64893,38
2020,10,66145,32
2020,10,67008,31
2020,10,62920,33
2020,10,61411,40
2020,10,67421,23
2020,10,67711,20
2020,10,64565,24
2020,10,61643,33
2020,10,76430,25
2020,10,76350,31
2020,10,79847,35
2020,10,61895,32
2020,10,65643,37
2020,10,76118,41
2020,10,75342,34
2020,10,64580,28
2020,10,76225,50
2020,10,69399,33
2020,10,65398,37
2020,10,69360,61
2020,10,65411,23
2020,10,62056,24
2020,10,67119,37
2020,10,78352,44
2020,10,68043,29
2020,10,63960,33
2020,10,69745,45
2020,10,67703,55
2020,10,63342,33
2020,10,64861,96
2020,10,60768,33
2020,10,73801,45
2020,10,50705,48
2020,10,74857,44
2020,10,50234,60
2020,10,69343,89
2020,10,67603,41
2020,10,76757,29
2020,10,65616,47
2020,10,68701,68
2020,10,62360,37
2020,10,61268,35
2020,10,50157,35
2020,10,50640,100
2020,10,63950,42
2020,10,50662,35
2020,10,68403,37
2020,10,77927,33
2020,10,62528,40
2020,10,61101,65
2020,10,69103,72
2020,10,68902,39
2020,10,69748,56
2020,10,62869,94
2020,10,69439,101
2020,10,76355,40
2020,10,64805,63
2020,10,63248,63
2020,10,67313,94
2020,10,62754,65
2020,10,73117,26
2020,10,69744,79
2020,10,78536,50
2020,10,63348,47
2020,10,62363,89
2020,10,69940,105
2020,10,50636,100
2020,10,77637,93
2020,10,50524,102
2020,10,50558,99
2020,10,50126,65
2020,10,78148,75
2020,10,68900,71
2020,10,65516,92
2020,10,69646,44
2020,10,67391,47
2020,10,64768,73
2020,10,50030,93
2020,10,69045,97
2020,10,67263,104
2020,10,61365,51
2020,10,79229,46
2020,10,69539,74
2020,10,60841,99
2020,10,69962,88
2020,10,50040,111
2020,10,69032,111
2020,10,65764,94
2020,10,50835,99
2020,10,50912,107
2020,10,73211,91
2020,10,65048,87
2020,10,64021,121
2020,10,50404,115
2020,10,69446,82
2020,10,68419,104
2020,10,68135,112
2020,10,77318,117
