"","P_ID","H2_rate","H3_rate","HR_rate","SB_rate","BB_rate","HP_rate","KK_rate","GD_rate"
"1",50054,0.25,0,0,0.0377358490566038,0.113207547169811,0,0.169811320754717,0
"2",50066,0.333333333333333,0,0.166666666666667,0,0.0740740740740741,0,0.222222222222222,0.037037037037037
"3",50150,0.285714285714286,0,0,0.142857142857143,0,0,0.19047619047619,0.0476190476190476
"4",50165,0.153846153846154,0,0.246153846153846,0,0.106995884773663,0.0123456790123457,0.251028806584362,0.00823045267489712
"5",50202,0,0,0,0.0416666666666667,0.0416666666666667,0,0.166666666666667,0.0416666666666667
"6",50204,0,0,0,0,0,0,1,0
"7",50208,0,0,0,0,0,0,0,0
"8",50293,0,0,0,0,0.157894736842105,0.0526315789473684,0.105263157894737,0
"9",50296,0,0,0,0,0,0,0,0
"10",50300,0,0,0.25,0,0.027027027027027,0,0.27027027027027,0
"11",50304,0,0,0,0,0,0,1,0
"12",50357,0.333333333333333,0,0,0,0,0,0.454545454545455,0
"13",50458,0.0833333333333333,0.0416666666666667,0,0.0727272727272727,0.0545454545454545,0,0.118181818181818,0.00909090909090909
"14",50468,0.216216216216216,0,0.162162162162162,0.0429447852760736,0.141104294478528,0.0429447852760736,0.251533742331288,0.0184049079754601
"15",50506,0.19047619047619,0.0158730158730159,0.0634920634920635,0.028,0.08,0.008,0.12,0.028
"16",50600,0,0,0,0,0,0,0,0
"17",50704,0.4,0,0,0,0.05,0,0.25,0.05
"18",50707,0,0,0,0,0.025,0,0.3,0.025
"19",50709,0,0,0,0,0.05,0,0.35,0.05
"20",50730,0.75,0,0,0,0,0,0.125,0
"21",50819,0,0,0,0,0.2,0,0.4,0
"22",50840,0,0,0,0,0,0,0,0
"23",50854,0.102040816326531,0.0204081632653061,0.0204081632653061,0.0412371134020619,0.0721649484536082,0.00515463917525773,0.144329896907216,0.0103092783505155
"24",50923,0.119402985074627,0.0746268656716418,0.253731343283582,0.0524193548387097,0.0685483870967742,0.0241935483870968,0.274193548387097,0.0201612903225806
"25",60288,0.0833333333333333,0,0,0,0.0666666666666667,0,0.266666666666667,0.0166666666666667
"26",60339,0,0,0,0,0,0,0,0
"27",60343,0,0,0.222222222222222,0,0.0961538461538462,0.0192307692307692,0.192307692307692,0.0576923076923077
"28",60523,0.204545454545455,0,0.0909090909090909,0.0258064516129032,0.0838709677419355,0.0193548387096774,0.225806451612903,0.00645161290322581
"29",60558,0.0909090909090909,0.0909090909090909,0,0.0181818181818182,0.0181818181818182,0.0727272727272727,0.290909090909091,0.0363636363636364
"30",60566,0,0,0,0.176470588235294,0.0294117647058824,0,0.0882352941176471,0.0588235294117647
"31",61102,0.145454545454545,0,0.0909090909090909,0.00930232558139535,0.0372093023255814,0.0325581395348837,0.195348837209302,0.0232558139534884
"32",61145,0,0,0,0,0,0,0,0
"33",61186,0.107692307692308,0.0153846153846154,0.0153846153846154,0.041044776119403,0.100746268656716,0.0149253731343284,0.111940298507463,0.00746268656716418
"34",61197,0.05,0,0.05,0.0348837209302326,0.104651162790698,0.0116279069767442,0.13953488372093,0.0116279069767442
"35",61204,0.2,0,0,0.130434782608696,0.0434782608695652,0,0.108695652173913,0.0217391304347826
"36",61208,0.170212765957447,0,0.0212765957446809,0.0597826086956522,0.0869565217391304,0,0.130434782608696,0.0217391304347826
"37",61268,0,0,0,0,0,0,0,0
"38",61295,0,0,0,0,0,0,0,0
"39",61353,0,0.117647058823529,0,0.0227272727272727,0.0454545454545455,0.0113636363636364,0.272727272727273,0.0227272727272727
"40",61365,0,0,0,0,0,0,0,0
"41",61404,0.173913043478261,0,0,0.0483870967741935,0.104838709677419,0.0241935483870968,0.0887096774193548,0.0241935483870968
"42",61554,0.2,0,0,0,0.0909090909090909,0.0909090909090909,0.136363636363636,0
"43",61566,0.0909090909090909,0,0.0909090909090909,0,0.0714285714285714,0.0178571428571429,0.267857142857143,0.0535714285714286
"44",61700,0.222222222222222,0,0,0.0217391304347826,0.217391304347826,0,0.195652173913043,0
"45",61743,0.142857142857143,0,0.0952380952380952,0.0229885057471264,0.0574712643678161,0.0114942528735632,0.252873563218391,0
"46",61869,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0579710144927536,0.0434782608695652,0.0072463768115942,0.246376811594203,0.0144927536231884
"47",61895,0,0,0,0,0,0,0,0
"48",62025,0.166666666666667,0,0,0.027027027027027,0.108108108108108,0,0.216216216216216,0.027027027027027
"49",62146,0,0,0,0,0,0,0,0
"50",62234,0.1875,0,0.0625,0.0392156862745098,0.0196078431372549,0.0980392156862745,0.117647058823529,0.0588235294117647
"51",62244,0.132075471698113,0.0188679245283019,0.0566037735849057,0.0195121951219512,0.0731707317073171,0.0292682926829268,0.0975609756097561,0.024390243902439
"52",62265,0.173913043478261,0,0.0652173913043478,0,0.116279069767442,0.00581395348837209,0.156976744186047,0.0406976744186047
"53",62353,0,0,0,0.0526315789473684,0.0526315789473684,0.0263157894736842,0.315789473684211,0
"54",62356,0.105263157894737,0.0526315789473684,0.0526315789473684,0.0103092783505155,0.0515463917525773,0,0.22680412371134,0.0309278350515464
"55",62404,0.224137931034483,0,0.120689655172414,0.0611111111111111,0.0611111111111111,0.0222222222222222,0.177777777777778,0.00555555555555556
"56",62409,0.238095238095238,0,0.0476190476190476,0.0490196078431373,0.127450980392157,0.00980392156862745,0.166666666666667,0.0196078431372549
"57",62415,0.145454545454545,0.0363636363636364,0.0909090909090909,0.0696517412935323,0.0497512437810945,0,0.164179104477612,0.0199004975124378
"58",62528,0,0,0,0,0,0,0,0
"59",62556,0,0,0.1,0,0.0535714285714286,0.0178571428571429,0.25,0
"60",62558,0.133333333333333,0.0333333333333333,0.0333333333333333,0,0.13986013986014,0,0.181818181818182,0.013986013986014
"61",62700,0.2,0,0,0.0357142857142857,0.0357142857142857,0,0.214285714285714,0.0119047619047619
"62",62797,0,0,0,0,0,0,0.333333333333333,0
"63",62802,0,0.166666666666667,0,0.0476190476190476,0.0952380952380952,0.0476190476190476,0.285714285714286,0.0238095238095238
"64",62864,0,0.142857142857143,0,0,0.0526315789473684,0,0.105263157894737,0
"65",62884,0,0,0,0.0263157894736842,0.105263157894737,0.0263157894736842,0.263157894736842,0.0263157894736842
"66",62893,0,0,0,0,0,0,0,0
"67",62895,0.142857142857143,0,0.333333333333333,0,0.0888888888888889,0.0111111111111111,0.266666666666667,0.0444444444444444
"68",62907,0.231884057971014,0.0289855072463768,0.0434782608695652,0.0284552845528455,0.0731707317073171,0.00813008130081301,0.0650406504065041,0.024390243902439
"69",62908,0.142857142857143,0,0,0.0333333333333333,0,0,0.133333333333333,0.05
"70",62925,0.214285714285714,0,0.142857142857143,0.0231481481481481,0.0509259259259259,0.0231481481481481,0.111111111111111,0.0138888888888889
"71",62931,0.156862745098039,0.0196078431372549,0.176470588235294,0.00975609756097561,0.0878048780487805,0,0.209756097560976,0.024390243902439
"72",62934,0.105263157894737,0,0.157894736842105,0.0898876404494382,0.0674157303370786,0.0224719101123595,0.191011235955056,0
"73",62937,0,0,0,0,0,0,0,0
"74",62947,0.243243243243243,0.0135135135135135,0.202702702702703,0,0.0864661654135338,0.0150375939849624,0.285714285714286,0.0150375939849624
"75",62951,0,0,0,0,0,0,0,0
"76",63103,0,0,0,0,0,0,0,0
"77",63202,0,0,0,0,0,0,0.2,0.2
"78",63248,0,0,0,0,0,0,0,0
"79",63257,0.25,0,0,0,0.236842105263158,0.0526315789473684,0.105263157894737,0.0526315789473684
"80",63260,1,0,0,0,0.153846153846154,0.0384615384615385,0.153846153846154,0
"81",63342,0,0,0,0,0,0,0,0
"82",63348,0,0,0,0,0,0,0,0
"83",63435,0,0,0,0.25,0,0,0.25,0
"84",63440,0.0666666666666667,0,0.133333333333333,0,0.0303030303030303,0,0.257575757575758,0.0151515151515152
"85",63448,0,0,0,0,0,0,0.166666666666667,0
"86",63450,0.2,0,0.0666666666666667,0.00970873786407767,0.0776699029126214,0.00970873786407767,0.271844660194175,0.029126213592233
"87",63543,0,0,0,0,0,0,0,0
"88",63559,0.5,0,0,0,0.0666666666666667,0.0666666666666667,0.2,0
"89",63634,0.111111111111111,0,0.111111111111111,0,0.0566037735849057,0.0188679245283019,0.30188679245283,0.0566037735849057
"90",63700,0.333333333333333,0,0.333333333333333,0,0.08,0,0.32,0
"91",63703,0,0,0,0,0.0833333333333333,0,0.333333333333333,0.0833333333333333
"92",63704,0.111111111111111,0.0740740740740741,0.037037037037037,0.0666666666666667,0.0857142857142857,0,0.20952380952381,0
"93",63722,0.166666666666667,0,0.166666666666667,0,0.0629370629370629,0.034965034965035,0.230769230769231,0.027972027972028
"94",63894,0,0,0,0,0,0,0,0
"95",63920,0,0,0.2,0,0.161290322580645,0,0.129032258064516,0.0645161290322581
"96",63950,0,0,0,0,0,0,0,0
"97",63963,0.145833333333333,0,0.1875,0.0048780487804878,0.15609756097561,0.024390243902439,0.151219512195122,0.024390243902439
"98",64004,0.0882352941176471,0.0588235294117647,0.0882352941176471,0.0367647058823529,0.0661764705882353,0,0.154411764705882,0.0147058823529412
"99",64006,0.0980392156862745,0.0392156862745098,0.0196078431372549,0.0708661417322835,0.0669291338582677,0.00393700787401575,0.204724409448819,0.0118110236220472
"100",64007,0.153846153846154,0,0.153846153846154,0.0138888888888889,0.0555555555555556,0,0.263888888888889,0
"101",64012,0,0,0,0.1875,0,0,0.4375,0
"102",64014,0,0,0.333333333333333,0,0,0,0.294117647058824,0
"103",64029,0,0,0,0,0,0,0,0
"104",64100,0,0,0,0,0,0.142857142857143,0.142857142857143,0
"105",64101,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0
"106",64115,0.4,0,0,0,0.0769230769230769,0,0.115384615384615,0
