"year","month","P_ID","T_ID","AVG","VS_T_ID_HH","VS_T_ID_HT","VS_T_ID_KT","VS_T_ID_LG","VS_T_ID_LT","VS_T_ID_NC","VS_T_ID_OB","VS_T_ID_SK","VS_T_ID_SS","VS_T_ID_WO","H_A_AWAY","H_A_HOME","PA","R","H2_rate","H3_rate","HR_rate","BB_rate","HP_rate","KK_rate","OBP","SLG","OPS","BABIP","BK_rate","SB_try","SB_succ","ERR"
2016,4,60757,"HH",0.372093023255814,0,0,0,1,0,2,3,0,0,2,2,6,48,8,0.1875,0,0.125,0.104166666666667,0,0.1875,0.4375,0.581395348837209,1.01889534883721,0.378378378378378,0,0.0106951871657754,0.5,0.00404244567963618
2016,4,60764,"HH",0.5,0,0,0,1,0,0,1,0,0,0,1,1,8,5,0,0,0,0.75,0,0,0.875,0.5,1.375,0.125,0,0,0,0.00404244567963618
2016,4,60768,"HH",0.258064516129032,0,0,0,0,0,0,1,0,1,0,1,1,35,5,0.125,0,0.25,0.0571428571428571,0.0285714285714286,0.0571428571428571,0.314285714285714,0.483870967741935,0.79815668202765,0.1875,0,0.0243079000675219,0.694444444444444,0.00404244567963618
2016,4,63791,"HH",0.225,0,0,0,1,1,2,4,0,0,2,5,5,45,5,0.222222222222222,0,0,0.111111111111111,0,0.244444444444444,0.311111111111111,0.275,0.586111111111111,0.264705882352941,0,0.00970873786407767,0,0.00404244567963618
2016,4,65764,"HH",0.428571428571429,0,0,0,1,1,1,1,0,0,0,3,1,44,14,0.133333333333333,0,0.133333333333333,0.181818181818182,0,0.136363636363636,0.522727272727273,0.657142857142857,1.17987012987013,0.351351351351351,0,0.0395869191049914,0.804347826086957,0.00404244567963618
2016,4,66741,"HH",0.388888888888889,0,0,0,1,0,1,1,0,0,1,2,2,28,7,0.285714285714286,0,0.142857142857143,0.25,0.107142857142857,0.0357142857142857,0.607142857142857,0.666666666666667,1.27380952380952,0.230769230769231,0,0.0267489711934156,0.576923076923077,0.00404244567963618
2016,4,66748,"HH",0.279569892473118,0,1,0,1,1,1,0,0,0,1,2,3,114,21,0.0384615384615385,0,0.153846153846154,0.149122807017544,0.0087719298245614,0.175438596491228,0.385964912280702,0.419354838709677,0.805319750990379,0.236559139784946,0,0.0764331210191083,0.916666666666667,0.00404244567963618
2016,4,71260,"HH",0.333333333333333,0,0,0,2,1,1,2,0,0,1,4,3,44,7,0.166666666666667,0.0833333333333333,0.166666666666667,0.136363636363636,0.0227272727272727,0.113636363636364,0.431818181818182,0.611111111111111,1.04292929292929,0.263157894736842,0,0.0327868852459016,0.5,0.00404244567963618
2016,4,72447,"HH",0.235294117647059,0,2,0,3,2,1,3,0,2,2,7,8,85,9,0.1875,0,0.125,0.129411764705882,0.0235294117647059,0.152941176470588,0.341176470588235,0.367647058823529,0.708823529411765,0.189189189189189,0,0.0325814536340852,0.730769230769231,0.00404244567963618
2016,4,73738,"HH",0.666666666666667,0,0,0,0,0,0,0,0,1,0,0,1,5,2,0.5,0,0,0.2,0,0,0.6,1,1.6,0.333333333333333,0,0.0112888052681091,0.333333333333333,0.00404244567963618
2016,4,73750,"HH",0.214285714285714,0,2,0,1,2,0,2,0,2,0,4,5,32,3,0,0,0.166666666666667,0.0625,0.0625,0.125,0.3125,0.321428571428571,0.633928571428571,0.185185185185185,0,0.0169252468265162,0.5,0.00404244567963618
