"","P_ID","H2_rate","H3_rate","HR_rate","BB_rate","HP_rate","KK_rate","BK_rate"
"1",50030,0.0386266094420601,0,0.0128755364806867,0.0751072961373391,0.0107296137339056,0.141630901287554,0
"2",50036,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.151515151515152,0.0909090909090909,0.0909090909090909,0
"3",50040,0.0347705146036161,0.00139082058414465,0.019471488178025,0.0737134909596662,0.00973574408901252,0.173852573018081,0
"4",50109,0.05,0,0,0.05,0.05,0.05,0
"5",50126,0.0467836257309941,0,0.0116959064327485,0.0847953216374269,0.0263157894736842,0.14327485380117,0.00292397660818713
"6",50157,0.0448430493273543,0,0.0269058295964126,0.0762331838565022,0.0269058295964126,0.147982062780269,0
"7",50203,0.024390243902439,0,0.024390243902439,0.0487804878048781,0.0487804878048781,0.219512195121951,0
"8",50234,0.0333333333333333,0,0.0151515151515152,0.0818181818181818,0.00303030303030303,0.251515151515152,0
"9",50262,0.0526315789473684,0,0,0.368421052631579,0,0.105263157894737,0
"10",50296,0.032258064516129,0,0.032258064516129,0.225806451612903,0.032258064516129,0.193548387096774,0
"11",50298,0,0,0.0666666666666667,0,0,0.0666666666666667,0
"12",50360,0.0277777777777778,0.0277777777777778,0.0277777777777778,0.0277777777777778,0.0277777777777778,0.166666666666667,0
"13",50397,0,0,0,0.333333333333333,0,0.333333333333333,0
"14",50404,0.0273311897106109,0.00321543408360129,0.022508038585209,0.0707395498392283,0.0112540192926045,0.155948553054662,0
"15",50441,0.125,0,0.0625,0.25,0,0.1875,0
"16",50449,0.0425531914893617,0,0.0283687943262411,0.156028368794326,0.0141843971631206,0.0921985815602837,0.00709219858156028
"17",50464,0.0731707317073171,0,0.024390243902439,0.24390243902439,0,0.0975609756097561,0
"18",50524,0.0338983050847458,0.00242130750605327,0.0217917675544794,0.0653753026634383,0.00968523002421308,0.13317191283293,0.00484261501210654
"19",50556,0.0666666666666667,0,0,0.0666666666666667,0,0.186666666666667,0
"20",50558,0.032051282051282,0,0.0128205128205128,0.0705128205128205,0.00801282051282051,0.256410256410256,0
"21",50592,0.166666666666667,0,0,0.166666666666667,0,0,0
"22",50636,0.0307167235494881,0,0.0068259385665529,0.0409556313993174,0.00511945392491468,0.221843003412969,0.00170648464163823
"23",50640,0.0422794117647059,0.00919117647058824,0.00551470588235294,0.0900735294117647,0.0110294117647059,0.194852941176471,0
"24",50662,0.032520325203252,0.00813008130081301,0.016260162601626,0.105691056910569,0.016260162601626,0.219512195121951,0
"25",50705,0.0301204819277108,0,0.0120481927710843,0.0903614457831325,0,0.27710843373494,0.00602409638554217
"26",50726,0,0,0.1,0.2,0,0.2,0
"27",50813,0,0,0.2,0.4,0,0,0
"28",50815,0.0769230769230769,0,0.0192307692307692,0.0769230769230769,0,0.115384615384615,0
"29",50835,0.0454545454545455,0.00162337662337662,0.0211038961038961,0.12012987012987,0.0146103896103896,0.136363636363636,0.00324675324675325
"30",50859,0.02,0,0.02,0.12,0.02,0.14,0.02
"31",50900,0,0,0,0,0,0,0
"32",50912,0.0392156862745098,0.0017825311942959,0.0160427807486631,0.0980392156862745,0.017825311942959,0.183600713012478,0.0035650623885918
"33",60140,0.0526315789473684,0.0175438596491228,0.0350877192982456,0.12280701754386,0.0350877192982456,0.245614035087719,0
"34",60146,0.031413612565445,0.00523560209424084,0.0471204188481675,0.0994764397905759,0,0.235602094240838,0
"35",60263,0.0542005420054201,0.002710027100271,0.035230352303523,0.10840108401084,0.010840108401084,0.146341463414634,0.002710027100271
"36",60264,0.0769230769230769,0,0.0769230769230769,0,0,0.230769230769231,0
"37",60336,0.0158730158730159,0,0.0158730158730159,0.174603174603175,0,0.206349206349206,0
"38",60337,0.0714285714285714,0,0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0
"39",60339,0.0277777777777778,0,0.037037037037037,0.12037037037037,0.0185185185185185,0.203703703703704,0
"40",60559,0.0482758620689655,0,0.0344827586206897,0.158620689655172,0.00689655172413793,0.144827586206897,0
"41",60768,0.0342857142857143,0.00571428571428571,0.0285714285714286,0.0857142857142857,0,0.177142857142857,0
"42",60841,0.0295748613678373,0.00369685767097967,0.0203327171903882,0.10720887245841,0.0295748613678373,0.203327171903882,0
"43",60845,0.142857142857143,0.0476190476190476,0.0476190476190476,0.0952380952380952,0,0.19047619047619,0
"44",61101,0.0471311475409836,0.00204918032786885,0.0266393442622951,0.104508196721311,0.00819672131147541,0.219262295081967,0
"45",61145,0.0666666666666667,0,0.0333333333333333,0.233333333333333,0.0666666666666667,0.133333333333333,0
"46",61156,0.0921052631578947,0,0.0131578947368421,0.144736842105263,0.0131578947368421,0.157894736842105,0
"47",61214,0,0,0.0533333333333333,0.133333333333333,0.0133333333333333,0.2,0.0133333333333333
"48",61268,0.0424528301886792,0.00471698113207547,0.0141509433962264,0.0660377358490566,0.0141509433962264,0.141509433962264,0
"49",61295,0.0263157894736842,0,0.0394736842105263,0.105263157894737,0.0131578947368421,0.184210526315789,0
"50",61365,0.0447761194029851,0.00298507462686567,0.0238805970149254,0.0656716417910448,0.017910447761194,0.101492537313433,0.00298507462686567
"51",61411,0,0,0,0.162790697674419,0.0465116279069767,0.27906976744186,0
"52",61457,0.025,0,0.025,0.075,0.0625,0.1375,0
"53",61643,0.0480349344978166,0.0131004366812227,0.0305676855895196,0.074235807860262,0.0174672489082969,0.209606986899563,0
"54",61895,0.0196078431372549,0.00490196078431373,0.0441176470588235,0.137254901960784,0.00490196078431373,0.240196078431373,0
"55",61962,0,0,0.05,0.2,0,0.15,0
"56",62056,0.043859649122807,0,0.0526315789473684,0.0964912280701754,0.0263157894736842,0.149122807017544,0.0087719298245614
"57",62146,0.025,0.00833333333333333,0.00833333333333333,0.0916666666666667,0.00833333333333333,0.183333333333333,0
