P_ID,inplay_ratio
50054,0.7169811320754716
50066,0.6666666666666666
50150,0.8095238095238095
50165,0.5308641975308642
50202,0.7083333333333334
50204,0.0
50208,1.0
50293,0.6842105263157895
50296,
50300,0.6216216216216216
50304,0.0
50357,0.5454545454545454
50458,0.7545454545454545
50468,0.5153374233128835
50506,0.74
50600,
50704,0.7
50707,0.625
50709,0.6
50730,0.875
50819,0.4
50840,
50854,0.7474226804123711
50923,0.5645161290322581
60288,0.6351351351351351
60339,
60343,0.6401985111662531
60523,0.6396160558464223
60558,0.6486090775988287
60566,0.8438320209973753
61102,0.6755113322277502
61145,
61186,0.7302350427350427
61197,0.6978967495219885
61204,0.7317518248175182
61208,0.71849234393404
61268,
61295,
61353,0.7184170471841704
61365,
61404,0.7476280834914611
61554,0.5768025078369906
61566,0.7081545064377682
61700,0.6200294550810015
61743,0.6440677966101694
61869,0.6649395509499136
61895,
62025,0.680672268907563
62146,
62234,0.6957695769576958
62244,0.6609918578830496
62265,0.6536856745479833
62353,0.5933098591549296
62356,0.6104815864022662
62404,0.6604964240639462
62409,0.6055045871559633
62415,0.7284132841328413
62528,
62556,0.6762037683182135
62558,0.6010230179028133
62700,0.6781984334203656
62797,0.7113985448666128
62802,0.6018376722817764
62864,0.6732580037664784
62884,0.6397849462365591
62893,0.6145833333333334
62895,0.5831234256926953
62907,0.7517053206002728
62908,0.8185053380782918
62925,0.711943793911007
62931,0.6669811320754717
62934,0.656271186440678
62937,
62947,0.6223934723481415
62951,
63103,
63202,0.6268656716417911
63248,
63257,0.6392857142857142
63260,0.5975
63342,
63348,
63435,0.75
63440,0.6185567010309279
63448,0.7567567567567568
63450,0.6494845360824743
63543,
63559,0.5445544554455446
63634,0.5435779816513762
63700,0.680327868852459
63703,0.5428571428571428
63704,0.6951693503609107
63722,0.5972434915773354
63894,
63920,0.6127167630057804
63950,
63963,0.6590062111801243
64004,0.7587209302325582
64006,0.73661800486618
64007,0.5550660792951542
64012,0.5871559633027523
64014,0.6666666666666666
64029,
64100,0.7543859649122807
64101,0.3333333333333333
64115,0.7608695652173914
64166,0.6181384248210023
64213,0.6363636363636364
64260,0.7761194029850746
64266,0.6222222222222222
64300,0.6992565055762082
64340,0.47368421052631576
64346,0.6195562859490551
64407,0.74
64410,0.651685393258427
64468,0.5846774193548387
64469,0.6746987951807228
64499,0.6756756756756757
64501,0.6470588235294118
64504,0.6514084507042254
64560,0.6563636363636364
64565,
64646,0.763095238095238
64657,0.5142118863049095
64704,0.6153846153846154
64717,0.6656976744186046
64768,
64793,0.5824175824175825
64868,0.7088414634146342
64890,0.6428571428571429
64893,
64906,0.7358490566037735
64984,0.7366412213740458
64995,
65042,
65060,
65062,1.0
65109,0.5794392523364486
65136,0.4507042253521127
65207,0.6666666666666666
65398,
65399,0.5914396887159533
65464,0.631578947368421
65496,
65503,0.625
65506,0.6142857142857143
65515,0.5753012048192772
65586,0.5860927152317881
65610,0.6039603960396039
65653,0.6285714285714286
65869,0.6304347826086957
65898,0.6787564766839378
66052,0.5853658536585366
66108,0.5515463917525774
66113,0.8461538461538461
66145,
66203,0.6491228070175439
66354,0.5662650602409639
66409,0.5163043478260869
66606,0.719954648526077
66614,0.589041095890411
66630,
66702,0.7692307692307693
66706,0.6820276497695853
66707,0.5357142857142857
66838,0.6748595505617978
66917,0.7336956521739131
66928,0.6
67008,
67025,0.6169871794871795
67207,0.6266666666666667
67304,0.648064806480648
67341,0.7817652764306499
67391,
67443,
67504,0.5079365079365079
67644,0.6818181818181818
67828,
67872,0.5687002652519894
68050,0.6429118773946361
68106,0.5
68200,
68204,0.5869565217391305
68305,0.6
68341,
68346,0.625
68362,0.5862068965517241
68518,0.6456692913385826
68525,0.6359375
68730,0.6805444355484388
68743,0.7058287795992714
68868,0.7530120481927711
68912,0.6232558139534884
69098,
69100,0.684931506849315
69159,
69209,0.7680084745762712
69306,0.6458333333333334
69360,
69399,
69403,1.0
69418,0.7214285714285714
69439,1.0
69442,0.5137614678899083
