"","BF","PA","BK","R","AVG","OBP","SLG","OPS","BABIP","H2_rate","H3_rate","HR_rate"
"1",195,48,0,8,0.372093023255814,0.4375,0.581395348837209,1.01889534883721,0.405660377358491,0.1875,0,0.125
"2",48,8,0,5,0.5,0.875,0.5,1.375,0.368421052631579,0,0,0
"3",123,35,0,5,0.258064516129032,0.323529411764706,0.483870967741935,0.807400379506641,0.319294809010774,0.125,0,0.25
"4",181,45,0,5,0.225,0.311111111111111,0.275,0.586111111111111,0.273972602739726,0.222222222222222,0,0
"5",192,44,0,14,0.428571428571429,0.534883720930233,0.657142857142857,1.19202657807309,0.348045397225725,0.133333333333333,0,0.133333333333333
"6",105,28,0,7,0.388888888888889,0.607142857142857,0.666666666666667,1.27380952380952,0.333793103448276,0.285714285714286,0,0.142857142857143
"7",472,114,0,21,0.279569892473118,0.392857142857143,0.419354838709677,0.81221198156682,0.358695652173913,0.0384615384615385,0,0.153846153846154
"8",169,44,0,7,0.333333333333333,0.431818181818182,0.611111111111111,1.04292929292929,0.324675324675325,0.166666666666667,0.0833333333333333,0.166666666666667
"9",339,85,0,9,0.235294117647059,0.358024691358025,0.367647058823529,0.725671750181554,0.307553956834532,0.1875,0,0.125
"10",14,5,0,2,0.666666666666667,0.6,1,1.6,0.370179948586118,0.5,0,0
"11",120,32,0,3,0.214285714285714,0.3125,0.321428571428571,0.633928571428571,0.338947368421053,0,0,0.166666666666667
"12",444,111,0,18,0.288659793814433,0.369369369369369,0.505154639175258,0.874524008544627,0.347619047619048,0.142857142857143,0.0357142857142857,0.178571428571429
"13",198,51,0,6,0.214285714285714,0.34,0.261904761904762,0.601904761904762,0.358003442340792,0.222222222222222,0,0
"14",400,96,0,20,0.294871794871795,0.40625,0.512820512820513,0.919070512820513,0.304744525547445,0.0869565217391304,0,0.217391304347826
"15",202,50,0,3,0.127659574468085,0.142857142857143,0.212765957446809,0.355623100303951,0.30635838150289,0.666666666666667,0,0
"16",34,11,0,4,0.444444444444444,0.5,0.777777777777778,1.27777777777778,0.341085271317829,0.75,0,0
"17",368,84,0,7,0.279411764705882,0.409638554216867,0.397058823529412,0.806697377746279,0.344800625488663,0.157894736842105,0.0526315789473684,0.0526315789473684
"18",286,68,0,9,0.254545454545455,0.363636363636364,0.436363636363636,0.8,0.331444759206799,0.142857142857143,0.0714285714285714,0.142857142857143
"19",126,33,0,3,0.24,0.387096774193548,0.32,0.707096774193548,0.312775330396476,0.333333333333333,0,0
"20",142,32,0,5,0.214285714285714,0.3125,0.321428571428571,0.633928571428571,0.363321799307958,0,0,0.166666666666667
